ID,NOMBRE_COMPLETO,NIVEL,GRADO,SECCION,FECHA,HORA,LAPTOP,TIMESTAMP
A001,Alumno Prueba 1,Primaria,5,A,2026-01-18,07:15:00,LAPTOP_A,2026-01-18 07:15:00
A002,Alumno Prueba 2,Primaria,5,A,2026-01-18,07:25:00,LAPTOP_A,2026-01-18 07:25:00
A003,Alumno Prueba 3,Primaria,5,A,2026-01-18,07:35:00,LAPTOP_A,2026-01-18 07:35:00
A004,Alumno Prueba 4,Primaria,5,A,2026-01-18,07:45:00,LAPTOP_A,2026-01-18 07:45:00
A005,Alumno Prueba 5,Primaria,5,A,2026-01-18,07:55:00,LAPTOP_A,2026-01-18 07:55:00
A006,Alumno Prueba 6,Primaria,5,A,2026-01-18,08:15:00,LAPTOP_A,2026-01-18 08:15:00
A007,Alumno Prueba 7,Primaria,5,A,2026-01-18,08:25:00,LAPTOP_A,2026-01-18 08:25:00
A008,Alumno Prueba 8,Primaria,5,A,2026-01-18,08:35:00,LAPTOP_A,2026-01-18 08:35:00
A009,Alumno Prueba 9,Primaria,5,A,2026-01-18,08:45:00,LAPTOP_A,2026-01-18 08:45:00
A010,Alumno Prueba 10,Primaria,5,A,2026-01-18,08:55:00,LAPTOP_A,2026-01-18 08:55:00
